id,exper1,married1,female1,union1,educ1,blcak1,lwage1,exper2,married2,female2,union2,educ2,blcak2,lwage2,exper3,married3,female3,union3,educ3,blcak3,lwage3,exper4,married4,female4,union4,educ4,blcak4,lwage4
1,3,1,0,0,9,0,5.56068,4,1,0,0,9,0,5.72031,5,1,0,0,9,0,5.99645,6,1,0,0,9,0,5.99645
2,30,1,0,0,11,0,6.16331,31,1,0,0,11,0,6.21461,32,1,0,1,11,0,6.2634,33,1,0,0,11,0,6.54391
3,6,1,0,1,12,0,5.65249,7,1,0,1,12,0,6.43615,8,1,0,1,12,0,6.54822,9,1,0,1,12,0,6.60259
4,31,0,1,0,10,1,6.15698,32,0,1,0,10,1,6.23832,33,0,1,0,10,1,6.30079,34,0,1,0,10,1,6.35957
5,10,1,0,1,16,0,6.43775,11,1,0,1,16,0,6.62007,12,1,0,1,16,0,6.63332,13,1,0,0,16,0,6.98286
6,26,1,0,0,12,0,6.90575,27,1,0,0,12,0,6.90575,28,1,0,0,12,0,6.90776,29,1,0,0,12,0,7.00307
7,15,1,0,1,12,0,6.1334,16,1,0,1,12,0,6.17379,17,1,0,1,12,0,6.21261,18,1,0,1,12,0,6.31355
8,23,1,0,1,10,0,6.3315,24,1,0,1,10,0,6.40357,25,1,0,1,10,0,6.54391,26,1,0,1,10,0,6.56244
9,3,1,0,0,16,0,6.55108,4,1,0,0,16,0,6.55108,5,1,0,0,16,0,6.80239,6,1,0,0,16,0,6.90776
10,3,1,0,0,16,0,6.39693,4,1,0,0,16,0,6.43775,5,1,0,0,16,0,6.43775,6,1,0,0,16,0,6.43775
11,24,0,0,1,12,0,6.65801,25,0,0,1,12,0,6.72623,26,0,0,1,12,0,6.80239,27,1,0,1,12,0,6.90776
12,21,1,0,1,12,0,6.55108,22,1,0,1,12,0,6.62936,23,1,0,1,12,0,6.72263,24,1,0,1,12,0,6.7334
13,26,1,0,0,12,0,6.90575,27,1,0,0,12,0,6.90073,28,1,0,0,12,0,7.17012,29,1,0,0,12,0,7.26543
14,15,1,0,0,17,0,6.80239,16,1,0,0,17,0,6.80239,17,1,0,0,17,0,6.9256,18,1,0,0,17,0,7.00307
15,9,0,1,0,14,0,5.94017,10,0,1,0,14,0,5.86079,11,0,1,0,14,0,5.99894,12,0,1,0,14,0,6.0845
